No.,sar sensor,Year of Satellite Launch,"Sensor Manufacturing Cost (SMC)
(millon$)",Imaging Mode,Ground Range Resolution,"Scene Size Range
(Range x Azimuth)km","Scene Size Range
 Azimuth)km",Polarization Type,SAR Operating Bands,Incidence Angle,Minimum Order Area (MOA),PriceType,Price($)
29,TerraSAR-X,2007,150,Spotlight,1.0 m,10,5,Single,X-band,20°–55°,1 scene,NEW,5625
30,TerraSAR-X,2007,150,Spotlight,2.0 m,10,10,Single,X-band,20°–55°,1 scene,NEW,4250
31,TerraSAR-X,2007,150,Stripmap,3.0 m,30,50,Single,X-band,20°–55°,1 scene,NEW,3687.5
32,TerraSAR-X,2007,150,ScanSAR,18.5 m,100,150,Single,X-band,20°–55°,1 scene,NEW,2187.5
33,TerraSAR-X,2007,150,ScanSAR,40.0 m,270,200,Single,X-band,20°–55°,1 scene,NEW,2187.5
28,TerraSAR-X,2007,150,Spotlight,0.25 m,4,3.7,Single,X-band,20°–55°,1 scene,Archive,3062.5
29,TerraSAR-X,2007,150,Spotlight,1.0 m,10,5,Single,X-band,20°–55°,1 scene,Archive,2812.5
30,TerraSAR-X,2007,150,Spotlight,2.0 m,10,10,Single,X-band,20°–55°,1 scene,Archive,2125
31,TerraSAR-X,2007,150,Stripmap,3.0 m,30,50,Single,X-band,20°–55°,1 scene,Archive,1843.75
32,TerraSAR-X,2007,150,ScanSAR,18.5 m,100,150,Single,X-band,20°–55°,1 scene,Archive,1093.75
33,TerraSAR-X,2007,150,ScanSAR,40.0 m,270,200,Single,X-band,20°–55°,1 scene,Archive,1093.75
34,Umbra,2022,5,Spotlight,1.0 m,5,5,Single,X-band,20°–50°,1 scene,NEW,1000
35,Umbra,2022,5,Spotlight,0.5 m,5,5,Single,X-band,20°–50°,1 scene,NEW,1400
36,Umbra,2022,5,Spotlight,0.35 m,5,5,Single,X-band,20°–50°,1 scene,NEW,2650
37,Umbra,2022,5,Spotlight,0.25 m,5,5,Single,X-band,20°–50°,1 scene,NEW,4900
38,Umbra,2022,5,Spotlight (Natural Footprint),1.0 m,10,14,Single,X-band,20°–50°,1 scene,NEW,2250
39,Umbra,2022,5,Spotlight (Natural Footprint),0.5 m,10,14,Single,X-band,20°–50°,1 scene,NEW,2850
40,Umbra,2022,5,Spotlight (Natural Footprint),0.35 m,10,14,Single,X-band,20°–50°,1 scene,NEW,4000
41,Umbra,2022,5,Spotlight (Natural Footprint),0.25 m,10,14,Single,X-band,20°–50°,1 scene,NEW,5650
